q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,t1,t2,t3,t4,t5,t6
0.2531018143198805,0.30045720395306946,-0.0854938118378308,0.20950349930806592,-0.8905433496859549,-0.11875826204923837,-0.15014264014217113,0.11863349183649988,-0.0498588712160848,0.134212060409225,-0.12580070883133104,0.03062345799779451,-482.5087779445973,313.0728839921378,-81.01352594565498,141.64639094306017,-177.58085930752225,-2.4781483114994547
0.2528015493746816,0.3006944614525381,-0.08559100045928884,0.20977007411460502,-0.8907949661619278,-0.1186986984648149,-0.15013247259946588,0.11862874973432468,-0.04859431072902555,0.1332874032695478,-0.125808237986391,0.029781792211736522,-482.7699110507133,314.36957639441493,-79.75782665718246,140.69053216989917,-178.72003150385862,-2.4799765892909473
0.2525012981233124,0.30093170791339885,-0.08568565696645287,0.21003477526552747,-0.8910465959658279,-0.1186408289279417,-0.15012562568460047,0.1186232304303884,-0.04732825358201428,0.13235057546121726,-0.12581490195007822,0.028934768436600852,-483.0291072287484,315.66377520264086,-78.5015279607273,139.73409072089862,-179.85832579459446,-2.4817998258812315
0.2522010559381874,0.30116894211892864,-0.08577777870933188,0.2102975854003909,-0.8912982377489415,-0.11858466155570935,-0.15012109256248538,0.1186171027648895,-0.04606087143950263,0.13140506743171967,-0.12582089155676535,0.028083686116175767,-483.2863665010556,316.9554649646509,-77.24464449568876,138.77707042002424,-180.99573563596923,-2.483616795404011
0.2519008196061357,0.3014061631212117,-0.08586736333074868,0.21055849204727195,-0.8915498904600645,-0.11853020262617475,-0.15011816602587294,0.1186105011415353,-0.044792310708394956,0.1304533234405336,-0.12582635556154315,0.027229464767295906,-483.5416885762644,318.24462995397613,-75.98719042552045,137.81947511603838,-182.1322545200107,-2.4854266392128395
0.251600586903178,0.3016433701880166,-0.08595440872419075,0.21081748615962514,-0.8918015532770337,-0.11847745711475909,-0.15011635147885097,0.11860353340246026,-0.04352269672102888,0.12949705617659574,-0.12583140848458205,0.0263727557078363,-483.79507294635783,319.53125426022325,-74.72917958894317,136.86130867744131,-183.26787596498409,-2.487228755632942
0.25130035629514014,0.3018805627612753,-0.08603891299852769,0.21107456109238862,-0.8920532255530128,-0.11842642907232521,-0.15011530401893378,0.11859628662931992,-0.04225213716847074,0.1285374663817349,-0.12583613798955767,0.025514021216932116,-484.0465189540509,320.8153218524424,-73.4706256031424,135.90257499001868,-184.40259350873907,-2.4890227224908394
0.2510001267277658,0.3021177404242867,-0.0861208744483472,0.21132971188516597,-0.8923049067752001,-0.1183771218915981,-0.15011478368717648,0.1185888315056896,-0.040980724909757085,0.12757539638868304,-0.1258406110936445,0.024653590363558037,-484.296025839836,322.0968166238573,-72.21154193481911,134.94327795507888,-185.53640070414417,-2.490808242806639
0.2506998974799582,0.3023549028755942,-0.08620029152893323,0.21158293476025672,-0.8925565965334256,-0.11832953849499525,-0.15011462390380367,0.11858122565374155,-0.03970854029301298,0.12661143754537146,-0.1258448791127402,0.023791698301426915,-484.5435927749281,323.37572242350916,-70.95194194927193,133.98342148785744,-186.66929111595633,-2.4925851067891798
0.25039966806135344,0.3025920499080348,-0.08627716283512228,0.21183422677107588,-0.8928082944963872,-0.11828368146717848,-0.1501147093023611,0.11857351622029334,-0.03843565309452625,0.12564600540957827,-0.12584898148083645,0.02292851390838741,-484.78921888436355,324.6520230786772,-69.69183894430485,133.02300951599238,-187.8012583186598,-2.494353165276477
0.2500994381409472,0.30282918139183873,-0.0863514870834266,0.2120835855558718,-0.893060000393685,-0.11823955314872045,-0.15011496020312162,0.11856574190197637,-0.03716212415216358,0.12467939239796419,-0.12585294864894453,0.022064159229016514,-485.03290326320797,325.9257024107859,-68.4312461736119,132.0620459780689,-188.93229589499992,-2.4961123111969368
0.24979920749743775,0.30306629726092804,-0.08642326309692294,0.2123310091651838,-0.8933117140022142,-0.11819715570240356,-0.15011532175472167,0.11855793454464265,-0.035888006748166085,0.12371180465599577,-0.12585680426457377,0.021198723158441995,-485.27464498792807,327.1967442467201,-67.17017686281612,131.1005348222713,-190.06239743496465,-2.497862466644409
0.24949897598473816,0.30330339750175933,-0.08649248979248783,0.21257649594094627,-0.8935634351358205,-0.11815649116024118,-0.1501157563497907,0.11855012041564394,-0.034613347782442926,0.12274338788124199,-0.12586056680315644,0.020332271081188416,-485.5144431243691,328.4651324268742,-65.9086442204538,130.13848000517217,-191.19155653508696,-2.499603573878053
0.24919874350807164,0.3035404821442039,-0.08655916617002501,0.21282004443176972,-0.8938151636373969,-0.11811756145690472,-0.15011623833326349,0.11854232122228428,-0.03333818876858872,0.12177424541172563,-0.12586425078820063,0.0194648516682347,-485.75229673335105,329.7308508109092,-64.64666144537914,129.17588549064521,-192.31976679796344,-2.5013355890638587
0.24889851000744256,0.3037775512540673,-0.0866232913033828,0.2130616533335647,-0.8940668993728077,-0.1180803684535515,-0.15011675031453764,0.11853455493169465,-0.03206256667889168,0.12080445089748543,-0.1258678677053963,0.018596501676606345,-485.98820487459017,330.9938832818783,-63.38424173176408,128.21275524892616,-193.44702183192283,-2.5030584779294034
0.24859827544624122,0.30401460492693566,-0.08668486433270364,0.21330132144792144,-0.8943186422261874,-0.11804491395486354,-0.15011728060066667,0.11852683643417466,-0.030786514660424556,0.11983405717837678,-0.12587142668987494,0.01772724934398814,-486.22216660944844,332.25421374920916,-62.12139827236997,127.24909325579173,-194.57331525079337,-2.5047722127526417
0.24829803980341622,0.30425164328310034,-0.08674388445798574,0.2135390476529306,-0.8945703920962783,-0.11801119972127509,-0.15011782141250074,0.11851917808232985,-0.02951006264104581,0.11886310250459113,-0.12587493504547315,0.01685711679421976,-486.45418100285883,333.5118261508825,-60.85814426067949,126.2849034918541,-195.6986406737547,-2.5064767702798014
0.24799780306812183,0.30448866646336237,-0.08680035093366881,0.21377483088272214,-0.8948221488935572,-0.11797922747778371,-0.15011836764718933,0.11851159013102555,-0.028233237841531963,0.11789161489577094,-0.1258783986393974,0.01598612174569089,-486.6842471246709,334.7667044550115,-59.594492892224984,125.32018994196594,-196.82299172521962,-2.508172130289586
