q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,t1,t2,t3,t4,t5,t6
-2.176996910456843e-10,8.678956951186252e-08,-2.7844680366211666e-07,-0.00038232158062833824,8.361941250061795e-08,9.597754513692851e-05,-1.0884984552284214e-07,4.3394784755931263e-05,-0.00013922340183105831,-0.1911607903141691,4.180970625030897e-05,0.047988772568464254,-0.00011665853360914452,-25.688310685193684,27.23540022848654,-123.01167654644082,4.106029275410848,18.075997632688118
-5.981450095916217e-10,2.5896933115985736e-07,-8.278597947073736e-07,-0.0011399456905240412,2.4693809634891017e-07,0.0002784903368689499,-1.902226592729687e-07,8.608988082399742e-05,-0.00027470649552262846,-0.37881205494785153,8.16593419241461e-05,0.0912563958660107,0.14953951944619664,-26.088835063691434,27.5170321978207,-120.75610196990989,4.028815375352824,16.337901997792518
8.544057046391585e-08,3.23157478912369e-07,-1.3349359960525275e-06,-0.0022653960743203383,8.359243535479784e-08,0.000539005543751135,4.301935773675373e-05,3.209407387625582e-05,-0.0002535381006725769,-0.5627251918981484,-8.167283049705616e-05,0.13025760344109258,0.29857261388296386,-26.48832880524534,27.797072797594577,-118.353495478262,3.953654097587104,14.767162800057372
3.4420128436259715e-07,8.625799877012262e-08,-1.488920908410015e-06,-0.003750758560293913,-8.037364683422197e-07,0.0008698117362246802,0.00012938035694934062,-0.00011844974007112319,-7.699245617874377e-05,-0.7426812429867874,-0.0004436644518485088,0.16540309623677263,0.4470169300051267,-26.88668190881622,28.075374564992355,-115.81000361910918,3.880527219297474,13.347660461880647
8.616575314577204e-07,-6.445165019442843e-07,-9.817997748636321e-07,-0.005587700498961645,-2.803312381937024e-06,0.0012639397578778446,0.0002587281235475616,-0.0003653872503572034,0.00025356056677319154,-0.9184709693338656,-0.0009997879567974022,0.19706401082658215,0.5949029964431966,-27.283785333122633,28.351792701560516,-113.1318849692446,3.8094143598671706,12.064828291657374
1.7234053945677177e-06,-2.06162120668989e-06,4.915146205687781e-07,-0.007767490517454331,-6.294337179791682e-06,0.0017150912208910528,0.0004308739315549985,-0.0007085523523728029,0.0007366571977162051,-1.089895009246343,-0.0017455123989273287,0.22557573150660412,0.742257347091362,-27.67953122280318,28.626185372828434,-110.32549868780319,3.7402931480366313,10.905502860241077
3.0146175531217342e-06,-4.357154716192325e-06,3.23299766813872e-06,-0.010281018553871257,-1.1646947578946403e-05,0.002217573891058185,0.0006456060792770083,-0.0011477667547512174,0.001370741523784971,-1.2567640182084627,-0.00267630519957736,0.2512413350835662,0.8891023269266832,-28.073813094658398,28.898413965496857,-107.39729310821176,3.673139389474788,9.857788793984875
4.819999626264912e-06,-7.722833869308918e-06,7.541332224612715e-06,-0.013118816136019357,-1.9222215247744985e-05,0.0027662432985553604,0.0009026910365715888,-0.001682839576558296,0.0021541672782369975,-1.4188987910740496,-0.0037876338343992913,0.27433470374858754,1.0354559214157641,-28.466525983765997,29.168343301866024,-104.35379438565447,3.6079272338533315,8.910936595329266
7.223748891620134e-06,-1.2349967745243738e-05,1.3711731561064246e-05,-0.016271076869189247,-2.937215019106552e-05,0.0033564499745882843,0.0012018746326776112,-0.00231356693796741,0.0030851996682257654,-1.5761303665849444,-0.005074967471660266,0.29510333801646194,1.181331609346755,-28.85756654987237,29.43584181177736,-101.20159521641517,3.544629340596285,8.055232235735765
1.030951544509119e-05,-1.8429430840914658e-05,2.2035766059323518e-05,-0.01972767709791657,-4.243970734338011e-05,0.0039839917718465425,0.0015428832767355278,-0.0030397315478354592,0.004162017249129636,-1.728300114363662,-0.006533778576157296,0.3137708986291292,1.3267382391078153,-29.246833145032873,29.700781662907684,-97.9473436450756,3.4832170425575195,7.281897386702906
